company_name,activity,address,phone,siteUrl
,Суші «на винос»,"вулиця Степана Бандери, 6/2, Калуш, Івано-Франківська область, 77301",0685014521,http://osama.com.ua/
,Ресторан японської кухні,"площа Героїв, 27, Калуш, Івано-Франківська область, 77312",0959254545,https://sushizoom.com/kalush
,Кафе,"проспект Лесі Українки, 15А, Калуш, Івано-Франківська область, 77300",0991991900,https://palermo.if.ua/
,Піцерія,"бульвар Незалежності, 6, Калуш, Івано-Франківська область, 77300",0959250420,http://vintage.if.ua/
,Піцерія,"вулиця Дзвонарська, 14, Калуш, Івано-Франківська область, 77300",0663600837,http://pizza-nys.com.ua/
,Ресторан,"вулиця Степана Бандери, 22, Калуш, Івано-Франківська область, 77300",0660564978,https://instagram.com/dilectus_kalush?igshid=18ev7p2u2xnji
